Date,Close,Volume
1/2/2015,38.0061,6906098
1/5/2015,37.2781,11623796
1/6/2015,36.9748,7664340
1/7/2015,37.8848,9732554
1/8/2015,38.4961,13170548
1/9/2015,37.2361,27556706
1/12/2015,37.4415,10021486
1/13/2015,37.7401,11040702
1/14/2015,37.5301,9295084
1/15/2015,37.1381,8126602
1/16/2015,37.6188,9015502
1/20/2015,37.9058,10738304
1/21/2015,37.9361,10844182
1/22/2015,38.6128,23913056
1/23/2015,41.1702,38107194
1/26/2015,41.1235,14098574
1/27/2015,41.2262,10995808
1/28/2015,40.8645,11963202
1/29/2015,41.5575,12475860
1/30/2015,40.8482,10070456
2/2/2015,41.0629,13638832
2/3/2015,41.4469,9252426
2/4/2015,41.5453,11496698
2/5/2015,41.9856,7598672
2/6/2015,41.6858,7835332
2/9/2015,41.6015,6911614
2/10/2015,42.7069,12469500
2/11/2015,42.5242,6466910
2/12/2015,43.009,7197558
2/13/2015,42.8942,6109522
2/17/2015,43.105,6386900
2/18/2015,43.5593,6541986
2/19/2015,43.639,6109176
2/20/2015,43.7982,6462662
2/23/2015,43.831,5854572
2/24/2015,43.7701,6337888
2/25/2015,44.1495,8120660
2/26/2015,44.2853,6816352
2/27/2015,43.7865,8658404
3/2/2015,44.1331,7947018
3/3/2015,44.0277,7578374
3/4/2015,43.5874,7774534
3/5/2015,43.8544,5848750
3/6/2015,43.1917,6814414
3/9/2015,43.5781,5984880
3/10/2015,43.1753,6076984
3/11/2015,42.8193,8185894
3/12/2015,43.7373,7295344
3/13/2015,43.6952,5835252
3/16/2015,44.0488,6772606
3/17/2015,44.208,5508796
3/18/2015,44.8895,15429928
3/19/2015,45.7888,22020618
3/20/2015,45.6483,17360612
3/23/2015,45.6062,7985986
3/24/2015,45.8614,7718488
3/25/2015,44.8567,9907170
3/26/2015,44.5336,10344304
3/27/2015,44.5289,7993350
3/30/2015,44.9551,6830270
3/31/2015,44.3556,8717754
4/1/2015,43.5687,14125350
4/2/2015,44.2104,8863018
4/6/2015,44.2713,6058894
4/7/2015,44.0605,5354670
4/8/2015,44.6038,6827888
4/9/2015,44.927,7109621
4/10/2015,45.1237,6643106
4/13/2015,45.4329,8171030
4/14/2015,45.2455,5952424
4/15/2015,45.0956,5162169
4/16/2015,45.194,5312499
4/17/2015,44.6085,7539865
4/20/2015,44.9364,4868425
4/21/2015,45.3111,6213360
4/22/2015,45.2783,7248119
4/23/2015,46.304,15866051
4/24/2015,48.5616,22284881
4/27/2015,47.653,11222608
4/28/2015,47.4094,8882901
4/29/2015,47.4469,7161992
4/30/2015,46.4446,8492048
5/1/2015,47.1097,5916509
5/4/2015,47.2549,7493420
5/5/2015,46.4279,10691207
5/6/2015,45.9815,8033489
5/7/2015,46.3762,5681417
5/8/2015,46.7803,6039840
5/11/2015,46.5172,5047180
5/12/2015,46.7145,5868552
5/13/2015,46.6017,4927094
5/14/2015,47.5086,7339742
5/15/2015,47.7388,6016694
5/18/2015,48.0959,8999761
5/19/2015,48.3215,6976052
5/20/2015,47.955,5644662
5/21/2015,48.2369,5084042
5/22/2015,48.3779,5857672
5/26/2015,47.7764,7369923
5/27/2015,48.4812,6213573
5/28/2015,48.688,5874382
5/29/2015,48.8289,9399112
6/1/2015,49.0733,7075082
6/2/2015,48.6128,7877799
6/3/2015,48.9793,5522702
6/4/2015,48.6034,6230805
6/5/2015,49.0451,7123248
6/8/2015,48.4248,6320181
6/9/2015,48.4342,5034038
6/10/2015,49.5149,8003611
6/11/2015,49.327,6030167
6/12/2015,49.4586,5236747
6/15/2015,49.1203,5554964
6/16/2015,49.7734,6106529
6/17/2015,50.0318,6735294
6/18/2015,50.8494,10712142
6/19/2015,50.6802,10609714
6/22/2015,50.652,7100665
6/23/2015,50.8541,5679984
6/24/2015,50.4735,5524969
6/25/2015,50.8118,5389863
6/26/2015,51.3286,6637183
6/29/2015,50.3231,6534077
6/30/2015,50.3842,9793969
7/1/2015,50.6426,6107698
7/2/2015,50.9715,5684667
7/6/2015,51.0326,5396439
7/7/2015,51.0984,9462256
7/8/2015,50.1728,8139303
7/9/2015,50.793,7681013
7/10/2015,51.2817,8087800
7/13/2015,52.3436,7477170
7/14/2015,52.3905,7028025
7/15/2015,52.0053,8212573
7/16/2015,52.3812,7305520
7/17/2015,52.3342,8715431
7/20/2015,52.8228,8029646
7/21/2015,52.8134,6717452
7/22/2015,53.2739,6876059
7/23/2015,53.1517,12439229
7/24/2015,53.8377,14559687
7/27/2015,53.5464,8993523
7/28/2015,53.6968,8689215
7/29/2015,54.0445,8470512
7/30/2015,54.5613,7337948
7/31/2015,54.4392,6519528
8/3/2015,54.6835,7664002
8/4/2015,55.3149,9113083
8/5/2015,55.607,7349063
8/6/2015,53.9297,11064470
8/7/2015,53.9014,7781995
8/10/2015,53.025,12029150
8/11/2015,53.1004,8062553
8/12/2015,53.1287,10075571
8/13/2015,53.5716,6731474
8/14/2015,53.8072,4803903
8/17/2015,54.4103,5768362
8/18/2015,54.4951,5575441
